Startup Name ,City,INDUSTRY,Funding Stage,Amount,Funding Date,Investors,Founded Year
PlayTime Games,DELHI,ecommerce,Series-E,INR 942 Crore,29/02/2024,"Ranjan Pai, Prosus Ventures",2020.0
Rebel Foods,ahmedabad,BeautyTech,Pre-A,1440,18/08/2018,Lightspeed,2017.0
Freshworks,Kolkata,AgriTech,Pre-Series A,329 Cr,14 Jul 2020,Info Edge,2020.0
BigBasket,Mumbai,ecommerce,Series D,₹1405 Cr,31/03/2018,B Capital,2016.0
Ola,KOLKATA,EdTech,SERIES E,₹2223 Cr,24-08-2021,Falcon Edge,2017.0
VitalCare,New Delhi,Food Tech,Series C,₹65 Cr,06 Feb 2014,"Elevation Capital, Bain Capital, Matrix Partners",2014.0
PolicyBazaar,KOLKATA,SAAS,Series E,Undisclosed,17 Feb 2022,"Blume Ventures, Endiya Partners",2020.0
GreenGrow,Ahmedabad,Travel-Tech,ipo,488,05-05-2019,"SoftBank, Ratan Tata, Kunal Shah",2014.0
GroomGuru,HYDERABAD,AI ML,Series A,₹2195 Cr,26-08-2023,"General Atlantic, Ranjan Pai",2021.0
MediConnect,Noida,Ecommerce,PRE-SERIES A,295 Cr,2019/01/26,Steadview Capital,2014.0
Meesho,delhi,EdTech,Series B,291 Cr,26/04/2019,"TPG, B Capital, Steadview Capital",2018.0
RuPayPro,Calcutta,Health-Tech,IPO,₹142 Cr,2022/09/23,Accel,2020.0
Ola,Delhi,Electric-Vehicles,series e,3520,03-10-2016,"B Capital, Ranjan Pai",2008.0
Swiggy,Noida,SAAS,Pre-A,₹5 Cr,2021/07/02,"DST Global, Ratan Tata",2015.0
Curefoods,pune,SaaS,PRE-SEED,70 Cr,02-09-2020,"Goldman Sachs, 3one4 Capital, Prosus Ventures",2017.0
BillBoss,Noida,Fin-Tech,SERIES C,2202 Cr,12 Apr 2015,"Ratan Tata, Lightrock",2015.0
FitnessPlus,HYD,Saas,Series E,297 Cr,2013/08/10,"Temasek, SoftBank",2010.0
 GreenGrow,BOM,saas,Pre-IPO,INR 86 Crore,10 Aug 2016,"Info Edge, Bain Capital",2016.0
WellnessHub,NOIDA,SaaS,SEED,₹948 Cr,01-06-2023,"Norwest Venture, 3one4 Capital",2020.0
VillageMart ,HYD,Electric Vehicles,series_b,INR 145 Crore,2023/07/18,"Y Combinator, Coatue",2022.0
StyleHub,Noida,Logistics,BRIDGE,37 Cr,14-03-2023,Goldman Sachs,2021.0
Simplilearn,KOLKATA,Food Tech,Series B,"₹3,549 Cr",25/07/2019,"B Capital, Goldman Sachs",2018.0
BYJU'S,BOM,Electric Vehicles,Series-E,INR 713 Crore,2023/01/10,"Goldman Sachs, Bain Capital",2021.0
WealthWiz,pune,PROPTECH,Pre-IPO,₹76 Cr,2016/09/20,"Steadview Capital, Peak XV Partners",2008.0
 BizConnect,Kolkata,saas,bridge,702,2019/05/05,Y Combinator,2018.0
FlyHigh,pune,FINTECH,bridge,INR 121 Crore,15-09-2023,"Bain Capital, Kalaari Capital, 3one4 Capital",2021.0
MediConnect,Bangalore,Electric Vehicles,seed,₹2226 Cr,,Norwest Venture,2015.0
EduSmart,Madras,Saas,Series C,INR 6 Crore,14 Oct 2010,"B Capital, Naspers",2008.0
RuPayPro,AHMEDABAD,Travel-Tech,SERIES D,3541 Cr,2020/03/14,"Bain Capital, Lightrock, Temasek",2019.0
CodeCraft,Hyderabad,saas,Pre-Seed,₹29 Cr,10 Oct 2017,"Endiya Partners, Inventus Capital, Matrix Partners",2017.0
GreenWheels,Hyderabad,Prop-Tech,Bridge,INR 139 Crore,14-12-2020,"Ratan Tata, Norwest Venture",2010.0
PharmEasy,HYD,Edtech,Pre-A,₹722 Cr,2019/05/25,"3one4 Capital, Ratan Tata",2018.0
MediConnect,New Delhi,Electric-Vehicles,SERIES C,₹178 Cr,,"Info Edge, Sequoia Capital",2020.0
MediConnect,Noida,Prop-Tech,Pre-IPO,51 Cr,03-02-2021,"Matrix Partners, Accel, B Capital",2016.0
MPL,Gurgaon,Food-Tech,Pre-Series A,180,30 Oct 2021,"Lightspeed, Matrix Partners, Goldman Sachs",2021.0
MPL,MUMBAI,AIML,series e,INR 97 Crore,06-10-2022,"DST Global, Accel",2022.0
 BYJU'S,GURUGRAM,FoodTech,IPO,₹688 Cr,24-01-2012,"Mukesh Bansal, Y Combinator, General Atlantic, Kalaari Capital",2012.0
FarmTech,Pune,FoodTech,Pre Series A,INR 55 Crore,03-04-2013,"Temasek, Tiger Global",2012.0
Mamaearth,Delhi,healthtech,PRE-SEED,INR 23 Crore,21-05-2021,"Info Edge, Lightspeed",2017.0
AgriBoost,MUMBAI,AI/ML,series b,₹89 Cr,11-01-2010,"Steadview Capital, Prosus Ventures",2010.0
 RuPayPro ,Bengaluru,EV,PRE-SEED,₹186 Cr,03/07/2023,"Mukesh Bansal, Matrix Partners, Peak XV Partners",2021.0
Streamly,New Delhi,AIML,SERIES C,84 Cr,22/02/2024,"Mukesh Bansal, Sequoia Capital",
 1mg,Delhi,PropTech,IPO,Undisclosed,01/09/2019,"Mukesh Bansal, Prosus Ventures, Coatue",2014.0
Ola,BOM,foodtech,IPO,₹919 Cr,12-07-2020,"Endiya Partners, Info Edge",2015.0
Pine Labs,NOIDA,healthtech,SERIES B,₹99 Cr,2024/04/14,"Ranjan Pai, Naspers, Inventus Capital",2010.0
Zomato,mumbai,Food-Tech,ipo,₹35 Cr,01 Jul 2019,"Inventus Capital, Lightrock, Ratan Tata, B Capital",2018.0
Rebel Foods,GURUGRAM,GAMING,Preseed,INR 475 Crore,04/03/2023,"B Capital, Sequoia Capital",2022.0
AgriBoost,Hyderabad,Electric-Vehicles,Series-D,Undisclosed,18 May 2024,Bain Capital,2020.0
Zerodha,hyderabad,PROPTECH,SERIES A,940 Cr,2023/11/18,"Goldman Sachs, Inventus Capital, Kunal Shah",2019.0
 RuralKart,chennai,AI-ML,Series-B,₹711 Cr,26-03-2024,Endiya Partners,2022.0
ExamReady,bangalore,Agri Tech,Pre-IPO,38,10-02-2021,"Kalaari Capital, Y Combinator",2021.0
InMobi,Ahmedabad,Logistics,Series-C,₹122 Cr,19/02/2017,"Mukesh Bansal, Y Combinator, Sequoia Capital, Endiya Partners",2015.0
Flipkart,Noida,Games,Series B,₹89 Cr,22-04-2024,"Elevation Capital, Nexus Venture Partners",2022.0
LearnLive,GURUGRAM,FOOD-TECH,PRE-SEED,₹26 Cr,01 May 2019,Accel,2010.0
SmartScholar,NOIDA,AI-ML,ipo,₹189 Cr,2023/06/25,TPG,2019.0
Blinkit,GURUGRAM,Electric Vehicles,Series A,2196,2023/07/12,Peak XV Partners,2022.0
WhiteHat Jr,HYDERABAD,Saas,SERIES B,2250,2024/05/31,"Blume Ventures, DST Global, Y Combinator",2019.0
 LearnLive,Noida,FinTech,Series D,INR 3512 Crore,01/02/2020,"General Atlantic, Lightspeed, Blume Ventures",2019.0
MPL,Mumbai,Health-Tech,Series C,₹677 Cr,20/11/2023,"Accel, General Atlantic, Ranjan Pai, Lightrock",2017.0
Urban Company,PUNE,foodtech,SERIES A,53,28-08-2021,"SoftBank, Matrix Partners, Inventus Capital",2010.0
BillBoss,Hyderabad,Health-Tech,ipo,55 Cr,05-08-2022,Norwest Venture,2019.0
NanoTech Solutions,Madras,gaming,Pre-Seed,₹23 Cr,2021/03/13,"SoftBank, Naspers",2017.0
CashFlow,ahmedabad,Agri-Tech,Seed,₹497 Cr,09-11-2020,"Lightspeed, Norwest Venture, Naspers",2017.0
NanoTech Solutions,CHENNAI,Agri Tech,Series-E,87,,"Sequoia Capital, Info Edge",2018.0
FarmTech,Kolkata,SaaS,Pre Series A,2231,01/05/2015,"Coatue, Kunal Shah",2014.0
InstaLoan,bangalore,E-Commerce,series a,"₹1,420 Cr",10-02-2022,"Bain Capital, Sequoia Capital, Elevation Capital",2015.0
ShopEasy,pune,AIML,seed,₹83 Cr,04/05/2017,"Peak XV Partners, Accel, Bain Capital",
Simplilearn ,Bengaluru,fintech,Pre-Seed,923 Cr,,Falcon Edge,2015.0
Zomato,pune,PROPTECH,SERIES E,₹450 Cr,,"Kalaari Capital, TPG, Goldman Sachs",2010.0
HealthLink,Noida,logistics,seed,INR 466 Crore,07/05/2021,"Blume Ventures, Ratan Tata, Y Combinator",2008.0
Razorpay,PUNE,AIML,Pre-A,121 Cr,22 Jun 2020,"Accel, Matrix Partners, 3one4 Capital",2020.0
AgroPlus,NEW DELHI,AI/ML,Series-E,98 Cr,,"Naspers, Mukesh Bansal, General Atlantic",2015.0
Mamaearth,BENGALURU,Food-Tech,series b,Undisclosed,2024/04/28,"General Atlantic, Lightrock",2014.0
Zepto,gurgaon,saas,bridge,INR 498 Crore,2021/09/05,,2020.0
CropCare,Bombay,Food-Tech,ipo,₹42 Cr,10 Dec 2019,Mukesh Bansal,2010.0
 Lenskart,Calcutta,SaaS,seed,484 Cr,30-01-2023,General Atlantic,2021.0
Games24x7,CHENNAI,Health Tech,Seed,INR 65 Crore,03 Jun 2018,"Ranjan Pai, Sequoia Capital, Kalaari Capital",
PlayTime Games,delhi,HealthTech,SERIES A,₹182 Cr,06 Nov 2021,,2010.0
CodeCraft,ahmedabad,SAAS,Series-C,99 Cr,17/04/2020,Nexus Venture Partners,2020.0
Rebel Foods,Ahmedabad,PropTech,SERIES E,₹47 Cr,30 Jun 2023,"Chiratae Ventures, SoftBank",2010.0
FreshDeli,Gurgaon,FoodTech,seed,683 Cr,22/04/2020,"Elevation Capital, Bain Capital, Lightrock, Mukesh Bansal",2014.0
CreditMate,HYD,agritech,Series-C,50 Cr,26-05-2023,"Coatue, Matrix Partners, Peak XV Partners, Naspers",2017.0
CureFit,NOIDA,BEAUTYTECH,SERIES A,₹54 Cr,2019/12/06,Mukesh Bansal,2015.0
Vedantu,PUNE,AGRITECH,series d,₹445 Cr,30-04-2022,"TPG, 3one4 Capital, Coatue",2010.0
BoldFoods,Kolkata,logistics,Series-A,167 Cr,08-09-2010,"Info Edge, TPG",2010.0
SmartShop,Bangalore,Agri-Tech,Series-E,INR 214 Crore,11-10-2022,"B Capital, TPG, Matrix Partners",2021.0
TutorMate,NOIDA,BEAUTYTECH,Series-D,INR 317 Crore,26-09-2023,Y Combinator,2018.0
EcoMotor,BOM,Fin-Tech,Bridge,INR 2242 Crore,09 Jan 2018,"Endiya Partners, Matrix Partners, Chiratae Ventures",2010.0
Zepto,BENGALURU,logistics,series_b,455 Cr,03-06-2021,"Nexus Venture Partners, Blume Ventures, Prosus Ventures, Accel",2015.0
EduCloud,Bangalore,gaming,Pre-Series A,45,27/10/2021,"Mukesh Bansal, Sequoia Capital",2019.0
Simplilearn,HYD,SaaS,Pre-IPO,41,22 Jan 2019,,2018.0
WhiteHat Jr ,BLR,Electric Vehicles,series a,16,30/09/2022,"B Capital, Temasek, SoftBank",2020.0
FinSphere,pune,GAMING,Series C,Undisclosed,16/05/2022,"Temasek, Goldman Sachs",2016.0
 VitalCare,Pune,BeautyTech,Series-C,3522 Cr,21/05/2022,Goldman Sachs,2014.0
Cred,HYDERABAD,SAAS,Series-A,₹2214 Cr,27-03-2022,"Ranjan Pai, Nexus Venture Partners",2014.0
GlowUp,Calcutta,Electric-Vehicles,Pre Seed,24,12/05/2019,"Endiya Partners, Temasek",2018.0
Studyo,Bengaluru,AIML,SERIES A,₹14 Cr,03-01-2023,"Coatue, Ranjan Pai",2021.0
BrightSpark,Bombay,HealthTech,Bridge,INR 111 Crore,24-03-2019,"Nexus Venture Partners, Endiya Partners",2017.0
Meesho ,bengaluru,BEAUTYTECH,series b,2231 Cr,13-02-2024,"Temasek, Endiya Partners",2018.0
WealthWiz,Kolkata,Food-Tech,Seed,INR 34 Crore,2023/01/03,"Elevation Capital, Info Edge, Endiya Partners",2021.0
GreenLogistics,Pune,AI/ML,SERIES C,₹914 Cr,,"General Atlantic, Naspers",2019.0
LearnLive,ahmedabad,Gaming,SERIES D,40 Cr,2022/01/17,Nexus Venture Partners,2022.0
Simplilearn,Chennai,E-Commerce,PRE-SERIES A,"₹2,221 Cr",17-11-2019,"Y Combinator, Kalaari Capital",2018.0
StyleHub,Noida,Electric-Vehicles,Seed,151,30-03-2015,"Endiya Partners, Lightrock",2012.0
Flipkart,NOIDA,TravelTech,SERIES E,INR 136 Crore,11 Aug 2021,Goldman Sachs,2018.0
Zerodha,hyderabad,PROPTECH,SERIES A,940 Cr,2023/11/18,"Goldman Sachs, Inventus Capital, Kunal Shah",2019.0
CleanSlate,Ahmedabad,Fintech,Series-C,3525 Cr,2021/02/24,"General Atlantic, Peak XV Partners, B Capital",2015.0
ChargeNow,BENGALURU,healthtech,SEED,58 Cr,18-07-2019,"Naspers, Kunal Shah",2019.0
Urban Company,KOLKATA,PROPTECH,Series-B,₹112 Cr,19-05-2020,"Matrix Partners, Prosus Ventures",2010.0
HealthLink,Noida,Games,SERIES E,₹26 Cr,19/11/2021,"General Atlantic, Lightspeed, Ranjan Pai",2017.0
Studyo,Gurugram,Food-Tech,series_b,3545,16 Jun 2020,"General Atlantic, DST Global",2014.0
Harvestify,AHMEDABAD,Agri Tech,series b,8 Cr,22-09-2019,,2018.0
GreenBowl,pune,Edtech,Seed,INR 3503 Crore,27 Nov 2020,"Bain Capital, Norwest Venture, General Atlantic",2016.0
LearnLive ,hyderabad,LOGISTICS,Pre Seed,16 Cr,15-04-2021,"Inventus Capital, Goldman Sachs",2019.0
CreditMate,New Delhi,LOGISTICS,series_b,₹468 Cr,2016/11/03,"Prosus Ventures, Nexus Venture Partners, Y Combinator",
 RuralKart,DELHI,AI-ML,Series-D,₹44 Cr,2017/04/08,"3one4 Capital, Blume Ventures",2015.0
Dunzo,MUMBAI,AI/ML,Preseed,₹36 Cr,07-08-2017,"Lightrock, Kalaari Capital",2014.0
BillBoss,Hyderabad,Health-Tech,ipo,55 Cr,05-08-2022,Norwest Venture,2019.0
Paytm,Pune,EV,SERIES C,INR 3533 Crore,2024/06/02,DST Global,2019.0
EduSmart,MUMBAI,AI ML,PRE-SEED,84,08-06-2024,"Lightspeed, SoftBank",2015.0
VitalCare,ahmedabad,GAMING,series d,146 Cr,20-03-2017,Tiger Global,2017.0
HealthLink,Delhi,LOGISTICS,Bridge,684,01-07-2017,"SoftBank, B Capital, Kunal Shah",2017.0
MediQ,Mumbai,Games,ipo,37,13-03-2019,"Kunal Shah, Sequoia Capital, Endiya Partners",2016.0
Nykaa,DELHI,logistics,BRIDGE,₹3515 Cr,04-12-2023,General Atlantic,2021.0
PhonePe,Bombay,saas,SERIES A,216 Cr,10/05/2022,"Temasek, Bain Capital",2014.0
 RuralKart,NEW DELHI,Gaming,Pre Seed,INR 2229 Crore,08/07/2021,"Nexus Venture Partners, Falcon Edge, Mukesh Bansal",2014.0
BookMyService,Madras,AI ML,SERIES A,1443 Cr,21-01-2020,"Coatue, Nexus Venture Partners",2015.0
QuickFix,Gurgaon,ECOMMERCE,SERIES A,INR 284 Crore,2021/03/17,"Matrix Partners, Temasek, Ratan Tata",2017.0
 DocOnTime,NOIDA,PROPTECH,SERIES A,152,20 Mar 2022,Sequoia Capital,2014.0
MakeMyTrip,NOIDA,gaming,IPO,"₹2,218 Cr",30 Jul 2023,TPG,2020.0
DermaPlus,Gurgaon,Health Tech,series e,711,07/01/2023,Elevation Capital,2019.0
Cuemath,PUNE,Beauty-Tech,Pre-Seed,₹21 Cr,03/04/2022,"Peak XV Partners, Ratan Tata",2019.0
Doubtnut,BOM,EDTECH,BRIDGE,Undisclosed,26-09-2021,Naspers,2012.0
GreenBowl,hyderabad,ecommerce,series_b,INR 44 Crore,15-07-2023,Mukesh Bansal,2021.0
Games24x7,AHMEDABAD,AI/ML,ipo,1406,15-12-2022,"Mukesh Bansal, Goldman Sachs",2016.0
FastTrack Logistics,hyderabad,Ecommerce,Pre Series A,₹1427 Cr,17/02/2018,"Y Combinator, Sequoia Capital",
DocOnTime,Calcutta,AI ML,Series-A,684 Cr,2024/05/31,"Ratan Tata, Nexus Venture Partners, Inventus Capital",2022.0
GreenBowl ,bangalore,AgriTech,series_a,Undisclosed,,"Lightspeed, Endiya Partners",2021.0
DocOnTime,CHENNAI,FOOD-TECH,Pre Seed,₹491 Cr,06/03/2022,"Accel, Coatue",2015.0
Swiggy,AHMEDABAD,FoodTech,BRIDGE,₹489 Cr,25-01-2016,,2008.0
Urban Company,Ahmedabad,AIML,Series-D,INR 108 Crore,2023/02/18,"General Atlantic, Coatue",2012.0
 Postman,PUNE,Health-Tech,Preseed,326 Cr,06/09/2022,Bain Capital,2015.0
HarvestPro,KOLKATA,AI/ML,Series E,79 Cr,04/08/2021,"TPG, Kunal Shah",2014.0
Curefoods ,NOIDA,TRAVELTECH,Seed,695,04/03/2021,Lightspeed,2014.0
GroomGuru,Noida,Gaming,SERIES E,3497,21 Mar 2021,"Accel, Naspers",2019.0
StyleHub,Chennai,Games,SERIES E,25,05 Jan 2016,"Steadview Capital, Lightrock",2015.0
 Curefoods,BLR,Food-Tech,Preseed,2230,14-03-2024,"General Atlantic, Prosus Ventures, Tiger Global",2020.0
VitalCare,mumbai,TRAVELTECH,Preseed,₹283 Cr,2021/11/28,Accel,2016.0
Cuemath ,NEW DELHI,FINTECH,series_a,₹85 Cr,2024/03/01,"Mukesh Bansal, Bain Capital",2018.0
MediConnect,bengaluru,foodtech,SERIES C,304,2022/04/10,"3one4 Capital, Y Combinator",
Watchio,KOLKATA,HEALTHTECH,Bridge,₹147 Cr,2009/04/11,"Matrix Partners, Ratan Tata",2008.0
BillBoss,Mumbai,BEAUTYTECH,Series D,₹58 Cr,19-07-2018,"Mukesh Bansal, Falcon Edge",2018.0
FinSphere,HYDERABAD,Prop-Tech,series d,₹229 Cr,24/02/2023,"Elevation Capital, Tiger Global",2015.0
Mamaearth,NOIDA,AgriTech,series_b,117 Cr,20-03-2021,"General Atlantic, Endiya Partners, Temasek, Sequoia Capital",2015.0
EcoMotor,bengaluru,gaming,SERIES A,2244 Cr,19 Feb 2024,"Y Combinator, Info Edge",2022.0
FinSphere,Noida,saas,Seed,₹119 Cr,26-01-2016,"Lightspeed, Elevation Capital",2016.0
Practo,Gurugram,Beauty-Tech,SERIES D,₹103 Cr,15-07-2022,Tiger Global,2021.0
