Startup Name ,City,INDUSTRY,Funding Stage,Amount,Funding Date,Investors,Founded Year
 Harvestify,BLR,Fin-Tech,Series-D,INR 18 Crore,03 Sep 2018,"SoftBank, Coatue",2018.0
 TaskHero,PUNE,TravelTech,PRE-SEED,INR 326 Crore,2023/01/06,"Tiger Global, Nexus Venture Partners, Temasek",2018.0
CureFit,NOIDA,BEAUTYTECH,SERIES A,₹54 Cr,2019/12/06,Mukesh Bansal,2015.0
 InstaLoan,CHENNAI,EV,Bridge,923,15-11-2022,"3one4 Capital, DST Global",2010.0
Vedantu,CHENNAI,Food Tech,Series-B,726,06 Mar 2011,"Ranjan Pai, Ratan Tata, Kalaari Capital",2010.0
AgroPlus,AHMEDABAD,TravelTech,BRIDGE,495 Cr,31 Mar 2014,Chiratae Ventures,2012.0
Meesho,NOIDA,PropTech,Preseed,162 Cr,30 Nov 2023,"Steadview Capital, Y Combinator, Info Edge",2019.0
MoneyMint,Delhi,Saas,Series-D,INR 30 Crore,2022/09/16,"DST Global, Lightrock",2012.0
EVStation,chennai,BEAUTYTECH,SERIES C,₹184 Cr,27-08-2021,"Elevation Capital, Peak XV Partners, Accel",2019.0
ClassroomX,AHMEDABAD,AI/ML,seed,3520 Cr,31-03-2023,"Lightspeed, Blume Ventures",2022.0
PayBuddy,Gurugram,AIML,Seed,₹8 Cr,24 Nov 2022,"Lightrock, Temasek",2010.0
PharmEasy,hyderabad,Prop-Tech,series d,INR 13 Crore,2014/04/29,"Lightrock, General Atlantic, Goldman Sachs",2012.0
BeautyBox,BLR,Ecommerce,series b,INR 2239 Crore,18-01-2021,"Bain Capital, Nexus Venture Partners",2021.0
FitFusion,bengaluru,Beauty-Tech,PRE-SERIES A,₹91 Cr,13-06-2024,"Ratan Tata, Bain Capital, Ranjan Pai",2021.0
CureFit,Noida,Electric Vehicles,Pre Seed,93 Cr,18 Jul 2023,"Inventus Capital, Y Combinator",2021.0
TutorMate,hyderabad,Fintech,SERIES D,INR 58 Crore,2018/02/26,"Info Edge, Chiratae Ventures",
WhiteHat Jr,bangalore,ev,seed,₹3511 Cr,2020/11/04,Mukesh Bansal,2014.0
Blinkit,Bangalore,AI-ML,Series E,INR 95 Crore,09-10-2014,"Matrix Partners, Kunal Shah",2012.0
CreditMate,mumbai,EdTech,Pre-Seed,₹53 Cr,2023/03/28,"Matrix Partners, Y Combinator, Lightspeed, Tiger Global",2014.0
StayEasy,NOIDA,Electric Vehicles,Series-D,447,12/10/2022,"Endiya Partners, Kalaari Capital, Matrix Partners",2022.0
FitFusion,mumbai,EdTech,SERIES A,INR 3546 Crore,27-02-2017,"Y Combinator, Goldman Sachs",2017.0
 ShopEasy,GGN,fintech,Series-E,489 Cr,2020/12/13,"Steadview Capital, Lightspeed, Kunal Shah",2019.0
 Urban Company,Bangalore,Health-Tech,Series-B,₹68 Cr,2022/06/14,"Coatue, Goldman Sachs",2014.0
Razorpay,NEW DELHI,PropTech,series c,Undisclosed,21 Jun 2010,"Kalaari Capital, Norwest Venture",2010.0
PhonePe,Noida,BEAUTYTECH,Preseed,INR 1398 Crore,30-07-2016,"Bain Capital, General Atlantic",2016.0
Watchio,AHMEDABAD,HealthTech,Series-A,₹170 Cr,24-01-2019,"Lightrock, Goldman Sachs, Norwest Venture",2016.0
ShareChat,Gurugram,AIML,SERIES C,900,17 Feb 2021,"Ranjan Pai, Mukesh Bansal, SoftBank",2019.0
FundFlow,Noida,FT,IPO,₹709 Cr,23-06-2021,"Matrix Partners, Ratan Tata",2019.0
Practo,BLR,gaming,Series C,486 Cr,2019/03/09,"Peak XV Partners, Elevation Capital, B Capital",2018.0
VoltCar,HYD,Edtech,series_a,916 Cr,2022/10/31,"Lightrock, Peak XV Partners",2021.0
Swiggy,HYDERABAD,Beauty-Tech,Series C,INR 178 Crore,14-08-2020,"3one4 Capital, Kalaari Capital, Blume Ventures",2019.0
InMobi,gurgaon,BEAUTYTECH,Series-E,60,2024/05/30,"Goldman Sachs, Endiya Partners, Chiratae Ventures",2020.0
SmartScholar,Ahmedabad,saas,Series E,28,07-09-2017,"Matrix Partners, Ranjan Pai, Lightspeed, Mukesh Bansal",2015.0
Practo,Noida,SaaS,Series-D,INR 88 Crore,10-06-2019,"Lightspeed, Sequoia Capital",2015.0
FlyHigh,Bangalore,logistics,SEED,INR 728 Crore,2023/01/31,"Coatue, General Atlantic",2020.0
Curefoods,Ahmedabad,healthtech,bridge,₹79 Cr,2022/11/16,"Kunal Shah, Lightrock",2022.0
GreenBowl,Calcutta,Food Tech,IPO,187,25-07-2013,"Ratan Tata, 3one4 Capital",2012.0
MPL,Noida,FoodTech,Series-E,184 Cr,07/05/2023,"Accel, Blume Ventures, Kunal Shah",2019.0
Paytm,NOIDA,Health-Tech,Series-A,INR 69 Crore,02 Sep 2022,"Ranjan Pai, Peak XV Partners, Steadview Capital",2019.0
VoltCar,Noida,logistics,series_a,945 Cr,2021/09/08,"General Atlantic, Chiratae Ventures",2016.0
 FetchIt,Hyderabad,ECOMMERCE,Seed,₹684 Cr,12-11-2017,"Goldman Sachs, Mukesh Bansal",2017.0
NanoTech Solutions,KOLKATA,ev,PRE-SERIES A,INR 466 Crore,29/11/2023,"Naspers, DST Global",2022.0
FitnessPlus,pune,Health Tech,Seed,27 Cr,2019/08/10,"Ranjan Pai, Norwest Venture, General Atlantic",2018.0
Mamaearth,Pune,Logistics,series_b,2214 Cr,2018/08/25,"General Atlantic, Tiger Global",2014.0
CureFit,AHMEDABAD,TRAVELTECH,bridge,₹687 Cr,22/07/2017,"Nexus Venture Partners, Goldman Sachs, 3one4 Capital",
PharmEasy,Ahmedabad,Travel-Tech,Pre-A,INR 179 Crore,28 Apr 2024,"Accel, Matrix Partners",2020.0
FundFlow,Calcutta,Health-Tech,series_b,₹315 Cr,20-10-2022,"Matrix Partners, Blume Ventures, Elevation Capital",2022.0
ClassroomX,Ahmedabad,Agri-Tech,BRIDGE,INR 63 Crore,12/04/2015,"Coatue, Ranjan Pai",2012.0
Curefoods,Mumbai,LOGISTICS,series_b,₹21 Cr,2021/02/16,"Steadview Capital, Bain Capital",2010.0
Cuemath,HYDERABAD,Agri Tech,Preseed,Undisclosed,2021/06/09,Falcon Edge,2016.0
TutorMate,HYD,logistics,Series-D,INR 17 Crore,2023/05/08,,2022.0
FreshDeli,Calcutta,saas,Series-D,329 Cr,13-03-2019,"Chiratae Ventures, Tiger Global",2018.0
WhiteHat Jr,Noida,AI ML,PRE-SERIES A,65,,"Norwest Venture, Kunal Shah",2022.0
Mamaearth,GGN,foodtech,PRE-SEED,INR 1443 Crore,12/06/2022,"3one4 Capital, Ratan Tata",2014.0
BrightSpark,Noida,Ecommerce,bridge,Undisclosed,29-02-2008,"Chiratae Ventures, Prosus Ventures",2008.0
CodeCraft,ahmedabad,gaming,Preseed,₹924 Cr,28/09/2013,"Steadview Capital, Mukesh Bansal",2010.0
Cred,bangalore,EdTech,ipo,950,22 Apr 2021,Tiger Global,2020.0
AgriBoost,Delhi,Fintech,SERIES A,₹729 Cr,24-03-2024,"DST Global, Elevation Capital",2021.0
GreenWheels,Mumbai,Beauty-Tech,Series D,Undisclosed,2020/05/01,Endiya Partners,2020.0
ExamReady,NOIDA,BEAUTYTECH,Series A,INR 461 Crore,2019/09/01,"Chiratae Ventures, Blume Ventures, Peak XV Partners",2018.0
TripScribe,Pune,HealthTech,SERIES E,1421,16 Feb 2018,"TPG, Prosus Ventures",2017.0
Zerodha,ahmedabad,ECOMMERCE,Pre-IPO,₹54 Cr,31/12/2021,B Capital,2017.0
 RuPayPro,Pune,Edtech,IPO,129 Cr,13 Aug 2019,"Peak XV Partners, Goldman Sachs",2017.0
 QuickFix,GGN,ecommerce,Pre-IPO,Undisclosed,2022/06/02,"Elevation Capital, B Capital",2022.0
RuPayPro,Bombay,Agri Tech,series c,₹59 Cr,02 Jul 2013,"Steadview Capital, Matrix Partners",2008.0
BookMyService,Noida,HEALTHTECH,Series A,902 Cr,27 Oct 2023,"Kalaari Capital, Chiratae Ventures, Bain Capital",2021.0
Zepto,CHENNAI,AI-ML,Bridge,24 Cr,2023/11/24,"Blume Ventures, Inventus Capital",2018.0
BillBoss,KOLKATA,Saas,Seed,₹100 Cr,,"DST Global, Accel",2022.0
Blinkit,Calcutta,AIML,SERIES B,₹451 Cr,08-04-2024,"Lightspeed, Tiger Global",2015.0
AgriBoost,Kolkata,Games,SERIES B,3507 Cr,07/03/2023,"Prosus Ventures, Steadview Capital",2018.0
 AgroPlus,delhi,Saas,Series D,₹1408 Cr,13-12-2022,Inventus Capital,2010.0
1mg,GURUGRAM,EDTECH,seed,₹728 Cr,13/08/2016,"3one4 Capital, Naspers",2016.0
Curefoods,BOM,Food-Tech,series c,INR 2210 Crore,14-07-2021,"Chiratae Ventures, Steadview Capital, Sequoia Capital, Accel",2019.0
InvestEdge,KOLKATA,healthtech,Series-E,2219 Cr,28/09/2020,"Lightrock, Elevation Capital",2020.0
FundFlow,DELHI,logistics,SERIES E,Undisclosed,2023/07/24,"Temasek, General Atlantic, Prosus Ventures",2021.0
TechMantra,AHMEDABAD,BeautyTech,Series D,213,08-08-2018,"Lightrock, B Capital",2015.0
Postman,Kolkata,Ed-Tech,Pre-Seed,₹116 Cr,2017/12/17,SoftBank,2015.0
StayEasy ,bengaluru,Agri-Tech,series e,₹25 Cr,17-06-2020,"Blume Ventures, Prosus Ventures, Inventus Capital",2020.0
GreenBowl,Chennai,AI/ML,ipo,80 Cr,14/05/2022,Temasek,2022.0
MoneyMint,MUMBAI,ev,Series-B,58,2012/02/03,"Blume Ventures, Accel",2010.0
 Zoho,GURUGRAM,foodtech,Series E,44 Cr,2018/06/26,Nexus Venture Partners,2017.0
RuPayPro,CHENNAI,PropTech,Pre-IPO,94,16-10-2023,Naspers,2022.0
EcoMotor,Noida,E-commerce,PRE-SEED,₹718 Cr,2017/03/17,"Sequoia Capital, Peak XV Partners",2012.0
PayBuddy,gurgaon,Travel-Tech,bridge,686 Cr,2022/04/25,"Ranjan Pai, DST Global",2018.0
Practo,BENGALURU,Games,Bridge,₹4 Cr,15 Sep 2010,Ranjan Pai,2010.0
Cuemath,bengaluru,Travel-Tech,bridge,115,2024/04/19,"Steadview Capital, Tiger Global, Elevation Capital",2010.0
Unacademy,NOIDA,Edtech,Series E,INR 927 Crore,,"General Atlantic, Matrix Partners",2015.0
VillageMart,KOLKATA,FINTECH,seed,₹27 Cr,2022/08/30,"Lightrock, Ranjan Pai",2019.0
ShopEasy,BLR,ecommerce,IPO,INR 449 Crore,06 Jul 2021,"Y Combinator, Lightrock, Goldman Sachs",2010.0
InvestEdge,Gurgaon,EdTech,series b,₹53 Cr,22 Dec 2013,"Lightrock, Inventus Capital",2010.0
InMobi,NEW DELHI,AI ML,Series-C,₹1432 Cr,20-10-2020,"B Capital, 3one4 Capital, Bain Capital",2016.0
BeautyBox ,GURUGRAM,Agri Tech,PRE-SERIES A,183 Cr,05/10/2022,"Info Edge, Steadview Capital, Ratan Tata",2010.0
Swiggy,BENGALURU,agritech,SERIES E,INR 1 Crore,15/11/2019,"Ratan Tata, B Capital",2008.0
GlowUp,mumbai,AI-ML,Pre-Seed,1441 Cr,26-04-2019,Endiya Partners,2016.0
Dream11,Gurugram,Prop-Tech,Pre-IPO,INR 730 Crore,04-06-2020,"Norwest Venture, Lightrock, Mukesh Bansal",2014.0
EduSmart,pune,logistics,Series B,19,17 Apr 2023,"3one4 Capital, SoftBank, General Atlantic",2020.0
VitalCare,mumbai,E-commerce,series_b,INR 939 Crore,30 Dec 2019,"SoftBank, Matrix Partners",2019.0
GreenWheels,Delhi,LOGISTICS,Pre-Seed,30 Cr,10/12/2023,"Nexus Venture Partners, Info Edge",
FetchIt,Pune,E-commerce,Series E,41 Cr,2023/11/25,"Y Combinator, Accel",2021.0
AgroPlus,Bombay,AI-ML,Pre Seed,₹470 Cr,28/11/2023,"Sequoia Capital, Matrix Partners",2020.0
PropMart,Madras,Ed-Tech,bridge,INR 2201 Crore,13 May 2011,"Lightspeed, Blume Ventures, Accel",2010.0
PlayTime Games,HYD,Beauty-Tech,SERIES A,₹133 Cr,17-12-2018,"Steadview Capital, Mukesh Bansal",
TechMantra,Gurugram,SAAS,SERIES B,210 Cr,2018/07/17,"DST Global, Mukesh Bansal, Tiger Global",2017.0
Meesho,MUMBAI,Saas,bridge,1435 Cr,14-04-2015,"Bain Capital, Matrix Partners",2008.0
VillageMart,Gurugram,Edtech,PRE-SEED,896,01-11-2022,Lightspeed,2021.0
 TaskHero,Calcutta,FOOD-TECH,Preseed,486 Cr,16 May 2015,Falcon Edge,2014.0
FlyHigh,BOM,Prop-Tech,Seed,₹189 Cr,2023/05/04,3one4 Capital,2020.0
DigiKart,Kolkata,BeautyTech,Pre Seed,₹905 Cr,2018/08/19,"Sequoia Capital, Kalaari Capital",2010.0
upGrad,pune,TRAVELTECH,Series-A,₹65 Cr,22-07-2018,"Endiya Partners, Coatue",2008.0
Studyo,gurgaon,AI/ML,SERIES D,₹4 Cr,08/06/2024,"Coatue, Norwest Venture",2022.0
Zoho,CHENNAI,BeautyTech,series_a,INR 470 Crore,15/07/2016,"Elevation Capital, Ratan Tata",
Zoho,Calcutta,AGRITECH,Pre-Series A,41,24 Jul 2023,"DST Global, Norwest Venture",2018.0
Wheelify,pune,ev,Pre-Series A,125,2023/06/23,"Ranjan Pai, Kalaari Capital",2022.0
EduSmart,Pune,Travel-Tech,BRIDGE,₹2238 Cr,,Norwest Venture,2008.0
BoldFoods,Madras,Fin-Tech,SEED,₹1410 Cr,12-06-2016,"Lightspeed, SoftBank",2015.0
InstaKart India,chennai,Food Tech,Pre-Series A,₹115 Cr,16-04-2016,"Bain Capital, SoftBank",
GreenBowl,Kolkata,logistics,Series E,₹30 Cr,12/02/2023,"Y Combinator, Lightspeed, Nexus Venture Partners",2022.0
WhiteHat Jr,bangalore,AI-ML,Series-E,15,09/11/2020,"Elevation Capital, Lightrock, Norwest Venture",2019.0
Streamly,KOLKATA,GAMING,Pre-A,₹47 Cr,26/05/2022,Matrix Partners,2022.0
BoldFoods,PUNE,Ed-Tech,IPO,168,20-04-2021,"Prosus Ventures, Steadview Capital",2008.0
 PlayTime Games,Hyderabad,FT,series b,₹950 Cr,15-11-2020,"Accel, Y Combinator",2008.0
Games24x7,BENGALURU,PROPTECH,SEED,₹118 Cr,19-11-2019,"Lightspeed, DST Global, Temasek",2019.0
Games24x7,hyderabad,saas,bridge,₹920 Cr,15-09-2021,"Endiya Partners, TPG",2019.0
Mamaearth,NOIDA,AgriTech,series_b,117 Cr,20-03-2021,"General Atlantic, Endiya Partners, Temasek, Sequoia Capital",2015.0
CodeCraft,New Delhi,Food Tech,Pre Seed,INR 299 Crore,11/10/2017,"Kunal Shah, Kalaari Capital, Y Combinator, Info Edge",2016.0
FinSphere,PUNE,Prop-Tech,Pre Seed,35,2023/09/02,"Inventus Capital, Chiratae Ventures, Accel, Matrix Partners",2021.0
CreditMate,PUNE,E-Commerce,Series D,₹2234 Cr,04-11-2011,"Elevation Capital, Goldman Sachs, Inventus Capital",2010.0
QuickRide,Madras,TRAVELTECH,SERIES E,₹906 Cr,01-06-2018,SoftBank,2018.0
Zepto,ahmedabad,Health-Tech,Pre Series A,INR 38 Crore,2022/04/17,Info Edge,2021.0
 TutorMate,AHMEDABAD,TRAVELTECH,series e,₹1432 Cr,09/09/2018,"Goldman Sachs, Prosus Ventures",2010.0
BoAt,Gurugram,Travel-Tech,Pre-Seed,₹278 Cr,2023/02/09,"TPG, Falcon Edge",2022.0
Cred,NOIDA,FoodTech,IPO,211 Cr,05 May 2023,"TPG, Lightrock",2021.0
BoldFoods,Calcutta,Saas,PRE-SEED,INR 2218 Crore,16-01-2018,"Coatue, Elevation Capital",2017.0
HealthLink ,Bombay,FINTECH,Series D,₹475 Cr,2024/03/01,,2015.0
AgroPlus,BENGALURU,Prop-Tech,series b,726 Cr,28/05/2021,"Blume Ventures, Nexus Venture Partners",2020.0
CleanSlate,HYDERABAD,Electric Vehicles,SERIES C,INR 2204 Crore,21-06-2023,SoftBank,2021.0
GroomGuru,NOIDA,healthtech,Bridge,₹722 Cr,09-03-2022,Lightspeed,2021.0
Swiggy,GURUGRAM,BeautyTech,Series-A,726,21-10-2023,"Peak XV Partners, Y Combinator, Falcon Edge",2022.0
QuickFix,chennai,saas,SERIES E,₹55 Cr,04/02/2024,"Coatue, Prosus Ventures",2021.0
BookMyService,Noida,FoodTech,Series C,1444 Cr,18/08/2022,"Ranjan Pai, Info Edge, Blume Ventures",2020.0
StayEasy,Noida,FoodTech,Series-B,"₹2,198 Cr",20-02-2022,Temasek,2020.0
CodeCraft,hyderabad,BeautyTech,PRE-SERIES A,719,15 Jul 2023,"Falcon Edge, Naspers, Chiratae Ventures, TPG",2022.0
Pine Labs,Mumbai,AI/ML,seed,493,14-11-2020,"Coatue, DST Global",2020.0
DigiKart,gurgaon,PROPTECH,SERIES C,1430,24/03/2022,"Matrix Partners, Kunal Shah",2021.0
Cuemath,Pune,AI/ML,IPO,Undisclosed,15/07/2019,"Nexus Venture Partners, Norwest Venture, 3one4 Capital",2017.0
TechMantra,Calcutta,agritech,bridge,INR 721 Crore,09-03-2021,"Endiya Partners, B Capital, Prosus Ventures",2016.0
Swiggy,Noida,SAAS,Pre-A,₹5 Cr,2021/07/02,"DST Global, Ratan Tata",2015.0
Razorpay,Kolkata,LOGISTICS,Series-C,719,25-04-2024,"DST Global, Info Edge",2019.0
Postman,Hyderabad,EdTech,Series B,1404 Cr,03/05/2024,"Mukesh Bansal, Blume Ventures, Info Edge, TPG",2019.0
Rebel Foods,Hyderabad,Agri Tech,Series B,157,2024/01/07,Matrix Partners,2017.0
Doubtnut,KOLKATA,ecommerce,Seed,88 Cr,09/07/2012,"Elevation Capital, Chiratae Ventures",2010.0
EcoMotor,KOLKATA,HealthTech,Seed,₹41 Cr,01-03-2019,"Goldman Sachs, 3one4 Capital, Elevation Capital, Norwest Venture",2008.0
Zepto,CHENNAI,AI-ML,Bridge,24 Cr,2023/11/24,"Blume Ventures, Inventus Capital",2018.0
FastTrack Logistics,KOLKATA,Agri Tech,bridge,INR 700 Crore,08 Dec 2019,"Matrix Partners, Blume Ventures",2018.0
Freshworks,Calcutta,fintech,seed,₹468 Cr,,"Norwest Venture, Elevation Capital, Blume Ventures",2016.0
